expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1421401,ll10-2-2,25.75532823155911,13.413222633290957,320.114592,55858.4186213,r.MP9601,11BC22
1421402,ll10-2-1,25.75532758405575,14.393253655791044,320.12582399999997,55858.4229114,r.MP9601,11BC22
1421403,ll10-1-1,26.769329041798944,14.3932538400325,320.130144,55858.4271748,r.MP9601,11BC22
1421404,ll10+0-1,27.78337017977341,14.393223365514586,320.12582399999997,55858.431436,r.MP9601,11BC22
1421405,ll10+1-1,28.797367689241433,14.393253047234849,320.130144,55858.4356954,r.MP9601,11BC22
1421406,ll10+2-1,29.81141759885637,14.393222570154649,320.135328,55858.4399592,r.MP9601,11BC22
1421407,ll10+2-2,29.81141943559993,13.41322363545342,320.131872,55858.444251,r.MP9601,11BC22
1421408,ll10+1-2,28.797328894415077,13.413223969296283,320.12323200000003,55858.4485112,r.MP9601,11BC22
1421409,ll10+0-2,27.78336794666237,13.413222915167879,320.12928,55858.4528213,r.MP9601,11BC22
1421410,ll10-1-2,26.769370615992408,13.41322229291484,320.122368,55858.4570807,r.MP9601,11BC22
1421411,ll10-2-2,25.755329650368264,13.413253884827824,320.10767999999996,55858.4613446,r.MP9601,11BC22
1421412,ll10-2-1,25.75532715402649,14.393223657616376,320.130144,55858.4656067,r.MP9601,11BC22
1421413,ll10-1-1,26.76936862945257,14.393252641088607,320.128416,55858.4698674,r.MP9601,11BC22
1421414,ll10+0-1,27.783369209697828,14.393221916654726,320.11891199999997,55858.4741301,r.MP9601,11BC22
1421415,ll10+1-1,28.79736632492651,14.393224298695943,320.1336,55858.4784385,r.MP9601,11BC22
1421416,ll10+2-1,29.811414715021385,14.3932242345675,320.143104,55858.4826983,r.MP9601,11BC22
1421417,ll10+2-2,29.811415552247084,13.413224581700987,320.131008,55858.4869623,r.MP9601,11BC22
1421418,ll10+1-2,28.797369505243744,13.413223184092786,320.12496,55858.4912245,r.MP9601,11BC22
1421419,ll10+0-2,27.7833685797664,13.413223692446154,320.13964799999997,55858.4954858,r.MP9601,11BC22
1421420,ll10-1-2,26.769366540975067,13.41320394304499,320.128416,55858.4997487,r.MP9601,11BC22
1421421,ll10-2-2,25.755287244686695,13.41320307147029,320.122368,55858.5040422,r.MP9601,11BC22
1421422,ll10-2-1,25.75532882681681,14.39322374105825,320.130144,55858.5083722,r.MP9601,11BC22
